id,author,volume,title,institution,venue,address,publisher,year,pages,editor,note,month
594,d. p. helmbold and r. e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,"to appear in the proceedings of the eighth annual conference on computational learning theory,","santa cruz,",,1995,,,,july
595,"david p. helmbold, robert e. schapire, yoram singer, and manfred k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,"pages 69-78,",,,
596,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"in proceedings of the eighth annual workshop on computational learning theory,",,,1995,"pages 69-78,",,,
597,"d.p. helmbold, r.e. schapire, y. singer,",,"m.k. warmuth, a comparison of new and old algorithms for a mixture estimation problem,",,"appearing in proc. of the eighth annual conf. on computational learning theory,",,,1995,,,,july
598,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"in proceedingsof the eighth annual workshop on computationallearning theory,",,,1995,"pages 69-78,",,,
599,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,"university of california, santa cruz, computer research laboratory,","technical report ucsc-crl-95-50,",,,1995,,,an extended abstract appeared in colt '95.,october
600,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,on-line portfolio selection using multiplicative upyears.,,"in proc. 13th international conference on machine learning,","san francisco,","morgan kaufmann,",1996,pages 243-251.,,,
601,"d. helmbold, r. schapire, y. singer, and m. war muth.",,on-line portfolio selection using multiplicative upyears.,,in machine learning: proceedings of the 13th international conference.,,,1996,,,,
602,"d. helmbold, r. schapire, y. singer, and m. war-muth.",,on-line portfolio selection using multiplicative upyears.,,in machine learning: proceedings of the 13th international conference.,,,1996,,,,
603,"helmbold, d. p., r. e. schapire, y. singer and m. k.",,warmuth (1996). on-line portfolio selection using multilpicative upyears.,,in: machine learning: proceedings of the thirteenth international conference.,,,1997,,,,"revised july,"
604,"helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.",,"on-line portfolio selection using multiplicative upyears,",,"in 'proceedings, 13th international conference on machine learning,'",san francisco (to appear).,"morgan kaufmann,","(1996c),",,,,
605,"helmbold, d. p., schapire, r. e., singer, y., and war-muth, m. k.",,on-line portfolio selection using multiplicative upyears.,,in machine learning: proceedings of the thirteenth international conference.,,,1997,,,,"revised july,"
606,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,",,"'on-line portfolio selection using multiplicative upyears,'",,"in proc. 13th international conference on machine learning,",san francisco:,"morgan kaufmann,","1996,",pp. 243-251. 35,,,
607,"d. p. helmbold, r. e. schapire, y. singer, and m. k. war-muth.",,on-line portfolio selection using multiplicative upyears.,,"in proc. of the thirteenth intl. conf. on machine learning,",,,1996,,,,
608,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,on-line portfolio selection using multiplicative upyears.,,"in proc. 13th international conference on machine learning,","san fran-cisco,","morgan kaufmann,",1996,pages 243251.,,,july
609,"helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.",,"a comparison of new and old algorithms for a mixture estimation problem,",,,,,"(1996b),",,,machine learning (to appear).,
610,"helmbold, d. p., & schapire, r. e.","27,",predicting nearly as well as the best pruning of a decision tree.,,"machine learning,",,,(1997).,51-68.,,,
611,d.p. helmbold and r.e. schapire.,27(1),predicting nearly as well as the best pruning of a decision tree.,,"machine learning,",,,1997,"51-68,",,,
612,"d.p. helmbold, r.e. schapire, y. singer, and m.k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,","27:97119,",,1997,,,4 available from http://www.sgi.com/technology/mlc/.,
613,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",27(1),a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,"97-119,",,,
614,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,","vol. 27,","'a comparison of new and old algorithms for a mixture estimation problem,'",,"machine learning,",,,1997,"pp. 97-119,",,,
615,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,,,to appear.,
616,"h. kautz, m. kearns, and b. selman.",,reasoning with characteristic models.,,"in aaai-93,",,,,pages 34-39.,,,
617,"kautz, h. a., kearns, m. j., & selman.",,b (1993). reasoning with characteristic models.,,"in proceedings of aaai-1993,",,,,34-39.,,,
618,"kautz, h., kearns, m., and selman, b.",,reasoning with characteristic models.,,"in proc. of the national conference on artificial intelligence (1993),",,,1993,pp. 34-39.,,,
619,"kautz, h., m. kearns, and b. selman.",,reasoning with characteristic models.,,"in proceedings of the national conference on artificial intelligence,",,,1993,pages 34-39.,,,
620,"kautz, h.; kearns, m.; and selman, b.",,reasoning with characteristic models.,,"in proceedings of the national conference on artificial intelligence,",,,1993,34-39.,,,
621,"h.a. kautz, m.j. kearns, b. selman.",,reasoning with characteristic models.,,"proceedings of aaai,",,,1993,,,,
622,"kautz, henry; kearns, michael; and selman,",,bart 1993. reasoning with characteristic models.,"at&t bell laboratories,","technical report,","murray hill, nj.",,,,,,
623,"h. kautz, m. kearns, and b. selman,",,"reasoning with characteristic models,",,"proceedings aaai-93 , washington,",dc (1993) 34-39.,,,,,,
624,"h. kautz, m. kearns, and b. selman.",,reasoning with characteristic models.,,"in proceedings of the national conference on artificial intelligence,",,,1993,"pages 34-39,",,,
625,"h. a. kautz, m. j. kearns, and b. selman.",,reasoning with characteristic models.,,"in proceedings of the 11th national conference on artificial intelligence,","washington, dc, july 1993.",aaai press.,,"pages 34-39,",,,
626,"kautz, h. a., kearns, m. j., & selman.","vol. 74,",b (1995) horn approximations of empirical data.,,"artificial intelligence,",,,,129-145.,,,
627,"kautz, h., kearns, m., & selman, b.","74,",horn approximations of empirical data.,,"artificial intelligence,",,,(1995).,129-145.,,,
628,"kautz, h., kearns, m., and selman, b.","vol. 74,",horn approximations of empirical data.,,"artificial intelligence,",,,"1995,",129-145.,,,
629,"kautz, h., kearns, m., and selman, b.",,horn approximations of empirical data.,,"artificial intelligence 74,",,,1995,129-145.,,,
630,"kautz, h., m. kearns, and b. selman.",,horn approximations of empirical data.,,artificial intelligence. forthcoming.,,,1994,,,,
631,"kautz, h., m. kearns, and b. selman.",74,horn approximations of empirical data.,,"artificial intelligence,",,,1995,129-145.,,,
632,"kautz, h.; kearns, m.; and selman, b.",,horn approximations of empirical data.,,artificial intelligence. forthcoming.,,,1994,,,,
633,"h.a. kautz, m.j. kearns, b. selman.",,horn approximations of empirical data.,,"artificial intelligence,",,,1994,,,,
634,"henry a. kautz, michael j. kearns, and bart selman.",74,horn approximations of empirical data.,,"artificial intelligence,",,,1994,"129-145,",,,
635,"kautz, henry a.; kearns, michael j.; and selman, bart ppear.",,horn approximations of empirical data.,,artificial intelligence.,,,,,,,
636,"henry a. kautz, michael j. kearns and bart selman,",,"horn approximations of empirical data,",,artif. intell.,,,,,,(to appear).,
637,"h. kautz, m. kearns, and b. selman.",,horn approximations of empirical data.,,"artificial intelligence,",,,1994,,,,forthcoming.
638,"h. kautz, m. kearns and b. selman.","74 (1995), 129 - 145.","horn approximations of empirical data,",,"artificial intelligence,",,,,,,,
639,"h. kautz, m. kearns, and b. selman.",74,horn approximations of empirical data.,,"artificial intelligence,",,,1995,"129-145,",,,
640,"h. kautz, m. kearns, and b. selman.",74,horn approximations of empirical data.,,"artificial intelligence,",,,1995,"129-145,",,,
641,"henry kautz, michael kearns, and bart selman.",74,horn approximations of empirical data.,,"artificial intelligence,",,,1995,"129-145,",,,
642,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
643,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formu lae.,,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
644,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
645,"kearns, m. j., li, m., pitt, l., and valiant, l.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing (stoc-87),",,,1987a.,pages 285-295.,,,
646,"kearns, m., li, m., pitt, l., & valiant, l.",,on the learnability of boolean formulae.,,proceedings of the nineteenth annual acm symposium on theory of computing (pp.,,,(1987).,285-295).,,,
647,"kearns, m., li, m., pitt, l., & valiant, l.g.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, ny:",acm press.,(1987).,(pp. 285-295).,,,
648,"kearns, m., li, m., pitt, l., and valiant, l.",,on the learnability of boolean formula.,,in proceedings of the nineteenth annual acm symposium on the theory of computing (pp.,new york city: ny:,acm press.,1987,285-295).,,,
649,"m. kearns, m. li, l. pitt, and l.",,"valiant [1987]. 'on the learnability of boolean formul,'",,"proceedings of the 19th annual acm symposium on theory of computing,","new york (1987),",,,285-295.,,,
650,"m. kearns, m. li, l. pitt, and l.g. valiant,",,on the learnability of boolean formulae.,,"proceedings of the 19th annual symposium on the theory of computation,",,,"1987,",285-295.,,,
651,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the 19th symposium on the theory of computations,","new york,",,1987,"pages 285-295,",,,may
652,"m. kearns, m. li, l. pitt, and l. valiant,",,on the learnability of boolean formulae.,,proc. 19th acm symposium on theory of computing (1987) 285-295.,,,,,,,
653,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learn-ability of boolean formulae.,,"in proc. 19th stoc,",,"acm,",1987,pages 285-295.,,,
654,"michael kearns, ming li, lenny pitt and leslie g. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the 19th annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,
655,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,may
656,"m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,",pp. 285-295.,,,
657,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
658,"kearns, m., li, m., pitt, l. & valiant, l. g.",,on the learnability of boolean formulae.,,in proceedings of the nineteenth annual acm symposium on theory of computing (pp.,"new york, ny:",acm press.,(1987).,285-295).,,,
659,"kearns, m., li, m., pitt, l., and valiant, l.,",,"'on the learnability of boolean formulae,'",,"proc. of the 19th acm symp. theory of computing,",,,"1987,",pp. 285-295.,,,
660,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,"in proc. of the 19 th annual acm stoc,",,,1987,,,,
661,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,,1987,"pages 285-295,",,,may
662,"m. j. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formula,",,"in 'proceedings, 19th acm symposium on theory of computing,",,,"1987,'",pp. 285-295.,,,
663,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in proc. 19th acm symposium on theory of computing,",,"acm press,",1987,pages 285-295.,,,
664,"m. kearns, m. li, l. pitt, and l.g. valiant.",,on the learn-ability of boolean formulae.,,"proceedings of the 19th annual symposium on the theory of computation,",,,1987,"pages 285295,",,,
665,"m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,",pp. 285-295.,,,
666,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
667,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1987,pages 285-294.,,,
668,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
669,"m. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formulae,",,"in proc. 19 th acm symposium on theory of computing,",,"acm,",1987,pages 285-295.,,,
670,"kearns, m., m. li, l. pitt, l. valiant,",,"'on the learnability of boolean formulae',",,"19th acm symposium on the theory of computing,","new york, ny,",,"1987,",pp. 285-295.,,,
671,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,"in stoc-87,",,,1987,"pages 285-295,",,,
672,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1987,pages 285-294.,,,
673,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,"acm press,","1987,",pp. 285-295.,,,
674,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,"in stoc-87, p.",,,1987,"285-295,",,,
675,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may
676,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,"in proceedings of the 19th symposium on the theory of computations,","new york,",,1987,"pages 285-295,",,,may
677,"m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,,"1987,",pp. 285-295.,,,
678,"kearns, m., m. li, l. pitt and l. valiant,",,"on the learnability of boolean formula,",,"proceedings of the 19th annual acm symposium on theory of computing,",,,1987,"pp. 285-95,",,,
679,"kearns, m. j., li, m., pitt, l., and valiant, l.",,recent results on boolean concept learning.,,"in proceedings of the fourth international conference on machine learning (ml-87),",,,1987b.,pages 337-352.,,,
680,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kauf-mann.,(1987).,337-352).,,,
681,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,
682,"m. kearns, m. li, l. pitt, and l. valiant.",,recent results on boolean concept learning.,,"proceedings of the fourth international workshop on machine learning,",los altos california).,"(published by morgan kaufmann,",,"pages 337-352,","in p. langley, editor,",,
683,"michael kearns, ming li, leonard pitt, and leslie valiant.",,recent results on boolean concept learning.,"university of california, irvine,","in proceedings of the fourth international workshop on machine learning,",,,1987,"pages 337-352,",,,june
684,"m. kearns, m. li, l. pitt, l.g. valiant.",,recent results on boolean concept learning.,,"proceedings of the 4th international workshop on machine learning,",,"morgan kaufmann publishers,","1987,",pp. 337-352.,,,
685,"kearns, m. j. and li, m.",,learning in the presence of malicious errors.,,in proceedings stoc-88.,,,(1988).,,,,
686,"kearns, m. j. and li, m.",,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing (stoc-88),",,,1988,pages 267-280.,,,
687,"kearns, m. and li, m.",,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing (chicago,","illinois,",,"1988),",pp. 267-280.,,,may
688,m. kearns and m.,,"'learning in the presence of malicious errors,'",,"proceedings of the 20th annual acm symposium on theory of computing, chicago (1988),",,,[1988].,267-280.,,,li
689,"m. kearns and m. li,",,learning in the presence of malicious errors.,,"proceedings of the 20th acm symposium on the theory of computation,",,,(1988).,pages 267-279.,,,
690,m. kearns and m. li.,,learning in the presence of malicious errors.,,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1988,pages 267-280.,,,
691,"m. kearns, m. li,",,"learning in the presence of malicious errors,",,,,,,,,stoc 1988,
692,"m. kearns, m. li.",,learning in the presence of malicious errors.,,"proceedings of the 20th a.c.m. symposium on the theory of computing,",,,"1988,",pp. 267-280.,,,
693,"m. kearns, and m. li,",,"learning in the presence of malicious errors,",,"in: proceedings of the 20th annual acm symposium on the theory of computation,","chicago, illinois (1988) 267-279.",,,,,,
694,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
695,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,"pages 267-280,",,,may
696,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
697,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,"pages 267-280,",,"to appear, siam journal on computing.",may
698,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,"pages 267-280,",,,may
699,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,168
700,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,33
701,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988,,,,
702,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
703,"kearns, m., m. li,",,"'learning in the presence of malicious errors',",,"20th acm symposium on the theory of computing,","chicago, il,",,"1988,",pp. 267-280.,,,
704,m. kearns and m. li.,,learning in the presence of malicious errors.,,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,","acm press,",1988,pages 267-280.,,,
705,m. kearns and m. li.,,learning in the presence of malicious errors.,,"proceedings of the 20th acm symposium on the theory of computation,",,,1988,"pages 267-279,",,,15
706,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
707,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,,,,may
708,michael kearns and ming li.,,learning in the presence of malicious errors.,,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988,"pages 267-280,",,,may
709,michael kearns.,,thoughts on hypothesis boosting.,,"(unpublished),",,,1988,,,,december
710,"kearns, m., l.g. valiant,",,"'learning boolean formulae or finite automata is as hard as factoring',","aiken computation laboratory, harvard university,","technical report tr-14-88,",,,1988,,,,
711,m. kearns and l.g. valiant.,,learning boolean formulae or finite automata is as hard as factoring.,"harvard university aiken computation laboratory,","technical report tr-14-88,","cambridge, ma,",,1988,,,,
712,michael kearns and leslie g. valiant.,,learning boolean formulae or finite au tomata is as hard as factoring.,"harvard university aiken computation laboratory,","technical report tr 14-88,",,,1988,,,,
713,m. kearns and l.g. valiant.,,learning boolean formulae or finite automata is as hard as factoring.,"harvard university aiken computation laboratory,","technical report tr-14-88,","cambridge, ma,",,1988,,,,
714,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,","new york,",,1989,"pages 433444,",,,
715,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,
716,"kearns, m. & valiant, l.",,cryptographic limitations on learning boolean for mulae and finite automata.,,in proceedings of the 21st annual acm symposium on theory of computing.,,acm press.,(1989).,,,,
717,"kearns, m. j. and valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing (stoc-89),",,,1989,pages 433-444.,,,
718,"kearns, m. and valiant, l. g.,",,"cryptographic limitations on learning boolean formulae and finite automata,",,"in proceedings of 21 st annual acm symposium on theory of computing,",,"assoc. com-put. mach.,",1989,,,,
719,"kearns, m., & valiant, l.",,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty-first annual acm symposium on theory of computing,","seattle, wa:",acm press.,(1989).,(pp. 433-444).,,,
720,"kearns, m., & valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,"pages 433-444 of: proceedings of the 21 st annual acm symposium on theory of computing. acm,",new york.,,1989).,,,,(may
721,"kearns, m., and valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,",new york:,acm.,1989,433-444.,,,
722,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,
723,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,",,,1989,,,,
724,"kearns, m., and valiant, l.,",,"'cryptographic limitations on learning boolean formulae and finite automata',",,in: proc. 21st ann. acm symp. on theory of computing (1989) 433-444.,,,,,,,
725,"m. kearns and l. valiant,",,cryptographic limitations on learning boolean formulae and finite automata.,,proc. 21st acm symposium on theory of computing (1989) 433-444.,,,,,,,
726,"m. kearns, l. valiant,",,"cryptographic limitations on learning boolean formulae and finite automata,",,,,,,,,stoc 1989.,
727,michael kearns and leslie valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,to appear in jacm.,may
728,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proc. 21st stoc,",,acm.,1989,pages 433-444.,,,
729,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,,may
730,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,"to appear, journal of the association for computing machinery.",may
731,"kearns, m. & valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,in proceedings of the twenty first annual acm symposium on theory of computing (pp.,"seattle, wa:",acm press.,(1989).,433-444).,,,
732,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,,may
733,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,"to appear, journal of the association for computing machinery.",may
734,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21st acm symposium on theory of computing,",,"acm,",1989,pages 433444.,,,
735,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proc. 21st acm symposium on theory of computing,",,"acm press,",1989,pages 433-444.,,,
736,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,"to appear, journal of the association for computing machinery.",may
737,michael kearns and leslie valiant.,,cryptographic limitations on learning boolean for-mulae and finite automata.,,"in proceedings of the twenty-first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,,may
738,michael kearns and leslie valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,to appear in jacm.,may
739,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,","new york, 1989.",acm.,,"pages 433-444,",,,
740,m. j. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,"association for computing machinery,","in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,pages 433-444.,,,
741,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty first annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,"to appear, journal of the association for computing machinery.",may
742,"kearns, m., and l. valiant,",,'cryptographic limitations on learning boolean formulae and finite automata'.,,"proc. 21st stpc,",,,(1989).,"433-444,",,,
743,"kearns, m., valiant, l.g.,",,"cryptographic limitations on learning boolean for--mulae and finite automata,",,"proc. 21 st acm stoc (1989),",,,,pp. 433-444.,,,
744,"m. kearns and l. valiant,",,"cryptographic limitations on learning boolean formulae and finite automata,",,"in proc 21 st acm symposium on theory of computing,",,"acm,",1989,pages 433-444.,,,
745,m. j. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and fi nite automata.,,"in proceedings stoc-89,",,,1989,"pages 433-444,",,,
746,m. j. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings stoc-89,",,,1989,"pages 433-444,",,,
747,m. kearns and l. g. valiant.,,criptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21th acm symposium on theory and computing,",,,1989,"pages 433-444,",,,
748,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21st annual acm symposium on theory of computing,","new york,",,1989,"pages 433-444,",,acm. to appear in journal of the acm.,may
749,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in acm symposium on the theory of computing,",,,1989,"pages 433-444,",,,
750,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,",,,1989,"pages 433-444,",,,
751,"m. kearns, l.g. valiant.",,cryptographic limitations on learning boolean formulae and finite automata.,,"34 proceedings of the 21st a.c.m. symposium on the theory of computing,",,,"1989,",pp. 433-444.,,,
752,michael kearns and leslie valient.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the twenty-first annual acm symposium on theory of computing,","seat-tle,washington,",,1989,"pages 433-444,",,,may
753,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in 21st acm symposium on theory of computing,","seattle, wa,",,1989,"pages 433-444,",,,
754,m. kearns and l. pitt.,,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"in proceedings of the second annual workshop on computational learning theory,","santa cruz, california,",,1989,"pages 57-71,",,,july
755,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71. 33,,,
756,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71.,,,
757,michael j. kearns.,,the computational complexity of machine learning.,,,"cam bridge, massachusetts,","mit press,",1990,,,,
758,michael j. kearns.,,the computational complexity of machine learning.,,,"cam-bridge, massachusetts,","mit press,",1990,,,,
759,m. kearns.,,the computational complexity of machine learning.,,,,mit press.,(1990).,,,,
760,"kearns, m. j.",,"the computational complexity of machine learning,",,,"cambridge, mas-sachusetts, usa.","mit press,",(1990).,,,,
761,michael j. kearns.,,the computational complexity of machine learning.,,,"boston, ma,","mit press,",1990,,,,
762,"kearns, m.",,the computational complexity of machine learning.,,,,the mit press.,(1990).,,,,
